w	self_d_u-self_d_u	self_d_d-self_d_u	self_d_u-self_d_d	self_d_d-self_d_d
-0.061453860712681316 + 0.0im	-0.13730681260497768 - 0.04388647151386803im	-0.20507949938098782 + 0.039349563877092444im	-0.2050794993809878 + 0.039349563877092444im	0.06777267723141993 - 0.08323603539098572im
-0.060845406646219125 + 0.0im	-0.13767825765282835 - 0.04350778699027458im	-0.20516863539811314 + 0.03865203810849816im	-0.2051686353981131 + 0.03865203810849817im	0.06749037327611405 - 0.08215982509879692im
-0.060242976877444676 + 0.0im	-0.13805254979364642 - 0.0431359487050388im	-0.20524885832882003 + 0.03796548054598564im	-0.20524885832882003 + 0.037965480545985635im	0.06719629927933286 - 0.08110142925104769im
-0.05964651175984621 + 0.0im	-0.13842949423356024 - 0.04277093768364549im	-0.20532050308075792 + 0.037289872424779144im	-0.20532050308075792 + 0.03728987242477915im	0.06689100195850332 - 0.08006081010844694im
-0.059055952237471496 + 0.0im	-0.13880886149302268 - 0.04241272919368534im	-0.20538392852699647 + 0.036625185595218025im	-0.20538392852699647 + 0.03662518559521802im	0.06657505616990349 - 0.07903791478892466im
-0.05847123983908069 + 0.0im	-0.139190450205117 - 0.0420612930360884im	-0.20543947290939846 + 0.035971382982169314im	-0.2054394729093984 + 0.035971382982169314im	0.06624901833353047 - 0.078032676018278im
-0.057892316672357114 + 0.0im	-0.13957405309351373 - 0.041716593833389354im	-0.2054874726051182 + 0.03532841904024329im	-0.2054874726051182 + 0.03532841904024329im	0.06591340822130871 - 0.07704501287365198im
-0.05731912541817536 + 0.0im	-0.1399594757467172 - 0.04137859131446593im	-0.2055282537888419 + 0.034696240203905264im	-0.2055282537888419 + 0.034696240203905264im	0.0655687707586435 - 0.07607483151838956im
-0.0567516093249261 + 0.0im	-0.14034651530421 - 0.04104724059522864im	-0.20556213605636026 + 0.03407478533163488im	-0.20556213605636037 + 0.03407478533163487im	0.06521561223415998 - 0.07512202592688087im
-0.05618971220289713 + 0.0im	-0.14073498885611493 - 0.04072249245477602im	-0.20558942765178254 + 0.0334639861433415im	-0.2055894276517826 + 0.03346398614334149im	0.06485443900669827 - 0.0741864785981339im
-0.05563337841871003 + 0.0im	-0.14112471251422357 - 0.04040429360656562im	-0.20561043408641386 + 0.03286376765030214im	-0.20561043408641388 + 0.03286376765030215im	0.06448572208100409 - 0.07326806125688312im
-0.05508255288981191 + 0.0im	-0.1415155084668823 - 0.040092586964187875im	-0.20562544847091493 + 0.03227404857694475im	-0.205625448470915 + 0.03227404857694474im	0.064109940961241 - 0.07236663554114697im
-0.054537181079021696 + 0.0im	-0.14190720116794958 - 0.039787311901364864im	-0.20563475717399382 + 0.03169474177385756im	-0.20563475717399388 + 0.03169474177385756im	0.06372755023157078 - 0.07148205367523573im
-0.053997208989130394 + 0.0im	-0.14229963032712248 - 0.039488404505831014im	-0.2056386382901821 + 0.03112575462146002im	-0.20563863829018209 + 0.031125754621460007im	0.06333900507076592 - 0.07061415912730323im
-0.053462583157554845 + 0.0im	-0.14269263203774687 - 0.03919579782678849im	-0.20563736204812952 + 0.03056698942382709im	-0.20563736204812952 + 0.030566989423827108im	0.06294473101479763 - 0.06976278725062678im
-0.0529332506510444 + 0.0im	-0.14308604303326847 - 0.038909422115663166im	-0.20563119147170708 + 0.03001834379221185im	-0.20563119147170708 + 0.030018343792211844im	0.06254514101221778 - 0.06892776590788523im
-0.05240915906044 + 0.0im	-0.14347972380044896 - 0.03862920505992008im	-0.20562037560476717 + 0.029479711017864087im	-0.2056203756047671 + 0.029479711017864122im	0.06214064755809556 - 0.06810891607779342im
-0.05189025649548514 + 0.0im	-0.14387351773221307 - 0.038355072009729825im	-0.20560516771576193 + 0.028950980433795747im	-0.20560516771576198 + 0.028950980433795747im	0.06173164576448207 - 0.06730605244353374im
-0.05137649157968826 + 0.0im	-0.14426728803261554 - 0.03808694619730906im	-0.20558580248460878 + 0.028432037765191077im	-0.20558580248460873 + 0.02843203776519105im	0.06131851026169457 - 0.06651898396250724im
-0.0508678134452359 + 0.0im	-0.1446608988563425 - 0.03782474894878752im	-0.20556251034666226 + 0.027922765468211423im	-0.20556251034666223 + 0.02792276546821142im	0.06090160732466594 - 0.06574751441700506im
-0.05036417172795634 + 0.0im	-0.14505421867368562 - 0.03756839988848437im	-0.2055355151247432 + 0.02742304305698841im	-0.20553551512474316 + 0.02742304305698841im	0.060481292228103695 - 0.06499144294547791im
-0.04986551656233301 + 0.0im	-0.14544712380769925 - 0.0373178171355036im	-0.20550502846524937 + 0.026932747418645188im	-0.20550502846524937 + 0.026932747418645212im	0.060057900458895606 - 0.06425056455415289im
-0.04937179857656734 + 0.0im	-0.14583949262891244 - 0.03707291749258635im	-0.2054712602588006 + 0.026451753116229527im	-0.20547126025880064 + 0.026451753116229517im	0.05963176426025341 - 0.06352467060881886im
-0.048882968887690434 + 0.0im	-0.14623120766451378 - 0.03683361662718193im	-0.2054344101170608 + 0.02597993267948188im	-0.20543441011706076 + 0.025979932679481888im	0.05920319722924806 - 0.0628135493066658im
-0.0483989790967232 + 0.0im	-0.14662215854768482 - 0.03659982924472604im	-0.20539467059984745 + 0.0255171568834025im	-0.20539467059984745 + 0.025517156883402507im	0.05877250696014695 - 0.06211698612812952im
-0.047919781283884355 + 0.0im	-0.14701223855797876 - 0.03637146925413513im	-0.2053522271211761 + 0.025063295014617428im	-0.2053522271211761 + 0.025063295014617428im	0.05833998380960855 - 0.06143476426875253im
-0.0474453280038459 + 0.0im	-0.14740134551718295 - 0.036148449925549844im	-0.20530725901021554 + 0.024618215125579206im	-0.20530725901021554 + 0.0246182151255792im	0.05790591000827505 - 0.06076666505112808im
-0.04697557228103554 + 0.0im	-0.1477893813202282 - 0.035930684040380204im	-0.20525993659909267 + 0.02418178427667083im	-0.20525993659909264 + 0.02418178427667084im	0.05747054979059795 - 0.06011246831704898im
-0.046510467604985686 + 0.0im	-0.14817625166643944 - 0.03571808403372322im	-0.2052104171345133 + 0.023753868766312643im	-0.20521041713451332 + 0.023753868766312643im	0.05703416692632475 - 0.059471952800032826im
-0.0460499679257284 + 0.0im	-0.14856187053632766 - 0.035510562129244035im	-0.2051588768050294 + 0.023334334349200608im	-0.20515887680502945 + 0.02333433434920061im	0.05659700774593824 - 0.05884489647844058im
-0.04559402764923604 + 0.0im	-0.14894615127450916 - 0.03530803046662531im	-0.2051054582496503 + 0.022923046442830785im	-0.20510545824965037 + 0.02292304644283078im	0.056159308470765855 - 0.05823107690945112im
-0.045142601632906974 + 0.0im	-0.14932901287034242 - 0.03511040122170695im	-0.20505030736167335 + 0.02251987032249065im	-0.20505030736167335 + 0.022519870322490646im	0.05572129600478188 - 0.05763027154419163im
-0.04469564518109601 + 0.0im	-0.1497103782817589 - 0.034917586719451825im	-0.2049935722730072 + 0.02212467130491945im	-0.20499357227300716 + 0.022124671304919453im	0.05528318710460864 - 0.05704225802436437im
-0.04425311404068912 + 0.0im	-0.15009017429430643 - 0.03472949953988433im	-0.20493536195162007 + 0.021737314920861114im	-0.20493536195162007 + 0.021737314920861114im	0.05484518875958036 - 0.05646681446073762im
-0.0438149643967219 + 0.0im	-0.15046833060664416 - 0.03454605261716257im	-0.20487583649170543 + 0.021357667076751956im	-0.20487583649170538 + 0.021357667076751963im	0.05440749813157615 - 0.05590371969390568im
-0.043381152868041485 + 0.0im	-0.15084478321638067 - 0.03436715933195263im	-0.20481509199976972 + 0.020985594205801913im	-0.20481509199976972 + 0.02098559420580191im	0.05397030580769505 - 0.05535275353774484im
-0.04295163650301137 + 0.0im	-0.1512194681844407 - 0.03419273359728507im	-0.20475325918597503 + 0.020620963408743323im	-0.20475325918597503 + 0.020620963408743323im	0.05353378803439073 - 0.05481369700601779im
-0.04252637277525878 + 0.0im	-0.1515923266500045 - 0.03402268993807927im	-0.20469044497684047 + 0.020263642584534215im	-0.2046904449768404 + 0.020263642584534204im	0.05309811745732409 - 0.05428633252260197im
-0.04210531957946414 + 0.0im	-0.15196330287508472 - 0.0338569435645299im	-0.20462676015764367 + 0.01991350055131442im	-0.20462676015764367 + 0.01991350055131442im	0.05266345643854344 - 0.05377044411583196im
-0.04168843522719222 + 0.0im	-0.1523323441922672 - 0.03369541043955429im	-0.20456230058782032 + 0.01957040715792294im	-0.20456230058782032 + 0.019570407157922937im	0.052229962673170816 - 0.05326581759746396im
-0.04127567844276457 + 0.0im	-0.15269940121607123 - 0.03353800734050558im	-0.20449717469410475 + 0.019234233386292036im	-0.20449717469410475 + 0.01923423338629203im	0.05179777257917648 - 0.05277224072678352im
-0.04086700835917284 + 0.0im	-0.1530644270573682 - 0.03338465191535909im	-0.20443146568571527 + 0.018904851445041632im	-0.20443146568571527 + 0.018904851445041632im	0.05136703565719105 - 0.052289503360385785im
-0.040462384514032515 + 0.0im	-0.1534273775868985 - 0.03323526273358274im	-0.20436526167172003 + 0.01858213485460085im	-0.20436526167172 + 0.01858213485460084im	0.05093788125174177 - 0.051817397588167856im
-0.040061766845576746 + 0.0im	-0.15378821202472934 - 0.03308975933190455im	-0.2042986458092586 + 0.018265958524189028im	-0.2042986458092586 + 0.018265958524189038im	0.05051043345543544 - 0.051355717856076934im
-0.03966511568868985 + 0.0im	-0.1541468928160956 - 0.03294806225519117im	-0.20423169878322764 + 0.017956198820988832im	-0.20423169878322764 + 0.017956198820988842im	0.050084808183743994 - 0.05090426107616261im
-0.03927239177098005 + 0.0im	-0.1545033820802165 - 0.03281009309265178im	-0.2041645068833515 + 0.017652733631847238im	-0.20416450688335155 + 0.017652733631847235im	0.049661121861755746 - 0.05046282672448085im
-0.03888355620889113 + 0.0im	-0.1548576472743252 - 0.032675774509581465im	-0.2040971274897463 + 0.017355442417838506im	-0.20409712748974632 + 0.01735544241783851im	0.049239477565042176 - 0.05003121692740117im
-0.03849857050385261 + 0.0im	-0.1552096571680375 - 0.03254503027485729im	-0.20402963369883304 + 0.017064206262022895im	-0.204029633698833 + 0.017064206262022895im	0.048819974890942294 - 0.04960923653686059im
-0.03811739653846793 + 0.0im	-0.15555938150271784 - 0.03241778528439793im	-0.20396209184072178 + 0.016778907910732138im	-0.20396209184072178 + 0.01677890791073214im	0.048402711404438324 - 0.049196693195109754im
-0.03773999657274052 + 0.0im	-0.15590679587473064 - 0.032293965580797016im	-0.20389456622518892 + 0.01649943180871044im	-0.2038945662251889 + 0.016499431808710427im	0.047987767703278825 - 0.048793397389486334im
-0.03736633324033715 + 0.0im	-0.15625187578282157 - 0.03217349836933561im	-0.2038271066738556 + 0.016225664128434444im	-0.2038271066738555 + 0.01622566412843445im	0.04757522898811498 - 0.04839916249774834im
-0.03699636954488827 + 0.0im	-0.1565945943241817 - 0.0320563120305781im	-0.20375977510904264 + 0.01595749279393237im	-0.20375977510904264 + 0.01595749279393237im	0.04716517943902207 - 0.048013804824488054im
-0.03663006885632502 + 0.0im	-0.15693493411394085 - 0.031942336129749865im	-0.20369262335252386 + 0.015694807499415486im	-0.20369262335252386 + 0.015694807499415476im	0.04675768673521309 - 0.04763714362914227im
-0.0362673949072525 + 0.0im	-0.15727287489255196 - 0.03183150142309328im	-0.20362569852623555 + 0.015437499723030452im	-0.2036256985262355 + 0.015437499723030455im	0.046352821130196044 - 0.04726900114610006im
-0.03590831178935891 + 0.0im	-0.15760839917753353 - 0.03172373986139234im	-0.203559046194435 + 0.015185462736033155im	-0.203559046194435 + 0.015185462736033155im	0.04595064691060148 - 0.04690920259740126im
-0.035552783949860306 + 0.0im	-0.15794149204012578 - 0.0316189845908527im	-0.20349271620237172 + 0.01493859160767815im	-0.20349271620237172 + 0.014938591607678145im	0.045551221642868074 - 0.04655757619850599im
-0.0352007761879805 + 0.0im	-0.15827213710455507 - 0.03151716995151806im	-0.20342674569902897 + 0.01469678320611007im	-0.203426745699029 + 0.014696783206110082im	0.04515460459439775 - 0.04621395315760267im
-0.034852253651465846 + 0.0im	-0.15860032483406594 - 0.03141823147339934im	-0.2033611702417312 + 0.01445993619553514im	-0.2033611702417312 + 0.014459936195535122im	0.04476085173952151 - 0.04587816766890851im
-0.034507181833134504 + 0.0im	-0.1589260401989077 - 0.03132210587048711im	-0.20329604111982458 + 0.014227951029942858im	-0.20329604111982458 + 0.014227951029942856im	0.044369998847854815 - 0.04555005690040349im
-0.03416552656745991 + 0.0im	-0.15924927531001445 - 0.03122873103281214im	-0.2032313804442885 + 0.014000729943639297im	-0.2032313804442885 + 0.014000729943639292im	0.04398210305135402 - 0.045229460976424454im
-0.033827254027188024 + 0.0im	-0.15957002113069113 - 0.03113804601671411im	-0.2031672258423716 + 0.013778176938844287im	-0.20316722584237165 + 0.013778176938844287im	0.04359720147932182 - 0.04491622295553096im
-0.03349233071998814 + 0.0im	-0.15988827019265142 - 0.0310499910334716im	-0.20310360078793835 + 0.013560197770596647im	-0.20310360078793835 + 0.013560197770596635im	0.04321533654845242 - 0.044610188804040274im
-0.033160723485136774 + 0.0im	-0.16020401605137555 - 0.03096450743644079im	-0.203040550950394 + 0.013346699929201455im	-0.2030405509503939 + 0.01334669992920146im	0.042836534305627144 - 0.044311207365613794im
-0.03283239949023443 + 0.0im	-0.16051725308589848 - 0.030881537706845888im	-0.20297809047826518 + 0.013137592620445305im	-0.20297809047826518 + 0.013137592620445305im	0.04246083680766934 - 0.04401913032726232im
-0.03250732622795488 + 0.0im	-0.16082797651253544 - 0.0308010254383559im	-0.20291625363404597 + 0.012932786743795612im	-0.20291625363404592 + 0.012932786743795615im	0.04208827456595368 - 0.04373381218212228im
-0.032185471512826615 + 0.0im	-0.16113618917152533 - 0.030722915320578713im	-0.20285504711904614 + 0.012732194868791062im	-0.2028550471190461 + 0.012732194868791062im	0.0417188678224912 - 0.04345511018934016im
-0.03186680347804615 + 0.0im	-0.16144187446295913 - 0.030647153121596573im	-0.20279452434888623 + 0.012535731209821514im	-0.20279452434888628 + 0.012535731209821505im	0.04135264402435166 - 0.043182884331388095im
-0.03155129057232292 + 0.0im	-0.16174504480149418 - 0.030573685669661198im	-0.20273467534253306 + 0.01234331159948627im	-0.20273467534253306 + 0.012343311599486267im	0.04098962894082001 - 0.04291699726911708im
-0.031238901556755367 + 0.0im	-0.16204569516758527 - 0.030502460834161214im	-0.20267553759884027 + 0.01215485346071087im	-0.20267553759884027 + 0.012154853460710867im	0.040629840659316734 - 0.04265731429484141im
-0.030929605501737987 + 0.0im	-0.16234382424919933 - 0.030433427505969977im	-0.2026171279526344 + 0.011970275777793844im	-0.2026171279526344 + 0.011970275777793839im	0.04027329970118328 - 0.04240370328373283im
-0.030623371783898998 + 0.0im	-0.16263943477781215 - 0.03036653557727377im	-0.20255945655537208 + 0.011789499066546054im	-0.20255945655537208 + 0.011789499066546054im	0.039920022643794115 - 0.04215603464378856im
-0.030320170083068313 + 0.0im	-0.16293253245017178 - 0.030301735920977835im	-0.20250254974955553 + 0.011612445343677124im	-0.20250254974955553 + 0.011612445343677122im	0.039570025595077676 - 0.04191418126462343im
-0.03001997037927556 + 0.0im	-0.1632231069866879 - 0.030238980369780837im	-0.20244642473059943 + 0.011439038095574828im	-0.20244642473059943 + 0.01143903809557483im	0.03922331455180704 - 0.04167801846532388im
-0.02972274294977778 + 0.0im	-0.16351117364201387 - 0.030178221695003324im	-0.2023910804878524 + 0.011269202246615408im	-0.20239108048785243 + 0.011269202246615402im	0.038879906087340266 - 0.041447423941586695im
-0.029428458366116614 + 0.0im	-0.16379673189304222 - 0.030119413585251im	-0.2023365426973471 + 0.011102864127135003im	-0.20233654269734713 + 0.011102864127135001im	0.0385398091739294 - 0.041222277712353754im
-0.02913708749120457 + 0.0im	-0.16407978619189198 - 0.03006251062498885im	-0.20228281937266246 + 0.010939951441184752im	-0.2022828193726624 + 0.010939951441184747im	0.03820302853895625 - 0.04100246206614115im
-0.028848601476440167 + 0.0im	-0.16436034316914652 - 0.03000746827309709im	-0.2022299212713028 + 0.0107803932341844im	-0.20222992127130276 + 0.010780393234184393im	0.037869577581097165 - 0.04078786150724883im
-0.02856297175885165 + 0.0im	-0.16463840259849147 - 0.0299542428414758im	-0.20217785776887262 + 0.010624119860582667im	-0.20217785776887262 + 0.010624119860582665im	0.037539460301865196 - 0.040578362702025646im
-0.028280170058268963 + 0.0im	-0.16491397574287203 - 0.029902791473760015im	-0.20212665021586437 + 0.010471062951625138im	-0.20212665021586443 + 0.010471062951625127im	0.03721267127653509 - 0.04037385442535217im
-0.028000168374523727 + 0.0im	-0.16518706606303094 - 0.02985307212420429im	-0.20207629311827185 + 0.010321155383324097im	-0.20207629311827185 + 0.010321155383324097im	0.03688922235222988 - 0.04017422750749528im
-0.027722938984676957 + 0.0im	-0.16545768246570383 - 0.029805043536788697im	-0.2020267954094926 + 0.010174331244718126im	-0.2020267954094926 + 0.01017433124471812im	0.0365691149552 - 0.03997937478147361im
-0.027448454440274214 + 0.0im	-0.16572583006325128 - 0.02975866522459863im	-0.20197817975425203 + 0.010030525806503179im	-0.20197817975425197 + 0.010030525806503177im	0.03625234649161662 - 0.03978919103106848im
-0.027176687564627933 + 0.0im	-0.16599151722266334 - 0.029713897449522318im	-0.2019304372150324 + 0.009889675490110609im	-0.2019304372150324 + 0.009889675490110614im	0.035938916876719636 - 0.03960357293959957im
-0.026907611450126667 + 0.0im	-0.16625475510854115 - 0.029670701202310294im	-0.20188357830236323 + 0.009751717837302356im	-0.20188357830236323 + 0.009751717837302354im	0.035628823792874985 - 0.039422419039579194im
-0.026641199455570957 + 0.0im	-0.16651554272068014 - 0.02962903818303445im	-0.20183761104139208 + 0.009616591480347223im	-0.20183761104139203 + 0.009616591480347223im	0.03532206735971261 - 0.03924562966334816im
-0.0263774252035356 + 0.0im	-0.16677389723339986 - 0.02958887078198349im	-0.20179253924151302 + 0.009484236112837708im	-0.20179253924151302 + 0.009484236112837705im	0.03501864106346226 - 0.0390731068947877im
-0.02611626257775802 + 0.0im	-0.16702982715539752 - 0.02955016206102656im	-0.2017483673786343 + 0.009354592461201041im	-0.2017483673786343 + 0.009354592461201043im	0.03471854215533763 - 0.038904754522194086im
-0.025857685720552494 + 0.0im	-0.1672833353817724 - 0.02951287573547443im	-0.2017050992011337 + 0.00922760225695344im	-0.2017050992011337 + 0.009227602256953439im	0.034421762907620564 - 0.03874047799239431im
-0.025601669030249994 + 0.0im	-0.1675344377545825 - 0.029476976156464853im	-0.20166273434566465 + 0.009103208209741942im	-0.20166273434566465 + 0.00910320820974194im	0.03412830009013414 - 0.03858018436617327im
