w	A_d_u-A_d_u	A_d_d-A_d_u	A_d_u-A_d_d	A_d_d-A_d_d
0.011549372166378032 + 0.0im	-2.116809618208124 - 1.7340392930494766im	-5.704263777185046 - 0.06963852192649583im	-5.704263777185046 - 0.06963852192649574im	3.5874542227916266 - 1.6644007711230244im
0.011664865888041812 + 0.0im	-2.121209534831979 - 1.7516917552472302im	-5.701621930610547 - 0.08304043350930021im	-5.701621930610547 - 0.08304043350930013im	3.5804123401231105 - 1.6686513217379702im
0.01178151454692223 + 0.0im	-2.125296168674171 - 1.7695731542515716im	-5.69875311931043 - 0.09659538257870726im	-5.69875311931043 - 0.09659538257870721im	3.5734569551662023 - 1.6729777716729088im
0.011899329692391452 + 0.0im	-2.129059682749138 - 1.7876764500658122im	-5.6956514097908615 - 0.11029899310730162im	-5.695651409790865 - 0.1102989931073017im	3.566591629835074 - 1.6773774569585511im
0.012018322989315365 + 0.0im	-2.1324904534597566 - 1.8059941725684272im	-5.692309712923197 - 0.12414662208865374im	-5.692309712923194 - 0.1241466220886537im	3.5598199847509333 - 1.6818475504798143im
0.01213850621920852 + 0.0im	-2.1355789823019538 - 1.824518423742062im	-5.688724381980896 - 0.13813336091324638im	-5.688724381980896 - 0.13813336091324635im	3.5531455569097625 - 1.6863850628288575im
0.012259891281400604 + 0.0im	-2.138314566212448 - 1.8432408808878504im	-5.684887485845898 - 0.15225403735375873im	-5.684887485845898 - 0.15225403735375873im	3.5465717707485314 - 1.690986843534133im
0.012382490194214611 + 0.0im	-2.1406913702333488 - 1.8621528008391122im	-5.680793853907428 - 0.16650321816834768im	-5.680793853907428 - 0.16650321816834768im	3.540102211530116 - 1.6956495826708076im
0.012506315096156757 + 0.0im	-2.142698208551735 - 1.8812450251855475im	-5.676438038507612 - 0.18087521232875756im	-5.676438038507615 - 0.18087521232875756im	3.533739874955566 - 1.7003698128568296im
0.012631378247118324 + 0.0im	-2.1443263641639314 - 1.9005079865160122im	-5.671814586544332 - 0.1953640748782252im	-5.671814586544332 - 0.19536407487822519im	3.5274885255766875 - 1.7051439116378255im
0.012757692029589507 + 0.0im	-2.1455680556780488 - 1.9199317156848832im	-5.666918308085082 - 0.20996361142222297im	-5.666918308085082 - 0.20996361142222292im	3.5213505688810542 - 1.7099681042627im
0.012885268949885403 + 0.0im	-2.146415140574169 - 1.9395058501037712im	-5.66174400384537 - 0.22466738325310115im	-5.66174400384537 - 0.22466738325310115im	3.515328875400041 - 1.7148384668507108im
0.013014121639384257 + 0.0im	-2.1468599399813684 - 1.9592196430571178im	-5.656287031542847 - 0.23946871310766385im	-5.656287031542847 - 0.23946871310766377im	3.509427464610644 - 1.7197509299494949im
0.0131442628557781 + 0.0im	-2.1468948964914034 - 1.9790619740368103im	-5.650542659765182 - 0.25436069155466745im	-5.650542659765185 - 0.2543606915546675im	3.5036477506680646 - 1.7247012824821817im
0.013275705484335881 + 0.0im	-2.1465131672591555 - 1.9990213600876583im	-5.644506315916121 - 0.2693361840071153im	-5.644506315916121 - 0.2693361840071153im	3.497993223243828 - 1.7296851760805838im
0.01340846253917924 + 0.0im	-2.145707915856276 - 2.019085968152083im	-5.638174083441379 - 0.2843878383521412im	-5.638174083441379 - 0.2843878383521411im	3.4924660959047316 - 1.7346981297999802im
0.013542547164571032 + 0.0im	-2.1444729149440773 - 2.039243628398919im	-5.63154158118511 - 0.2995080931891211im	-5.63154158118511 - 0.2995080931891211im	3.4870687130667735 - 1.7397355352098378im
0.013677972636216743 + 0.0im	-2.142802267541542 - 2.059481848517924im	-5.624605507468018 - 0.3146891866645644im	-5.624605507468018 - 0.3146891866645644im	3.4818032571356894 - 1.7447926618534im
0.013814752362578911 + 0.0im	-2.1406904565771843 - 2.079787828957964im	-5.617362122832532 - 0.3299231658901725im	-5.617362122832532 - 0.32992316589017257im	3.476671701013644 - 1.7498646630678307im
0.0139528998862047 + 0.0im	-2.1381325237885864 - 2.100148479083572im	-5.609808417066479 - 0.3452018969283891im	-5.609808417066482 - 0.3452018969283891im	3.4716759463634514 - 1.7549465821552224im
0.014092428885066746 + 0.0im	-2.1351238098901097 - 2.1205504342211867im	-5.601941434649794 - 0.3605170753276602im	-5.601941434649794 - 0.3605170753276602im	3.466817663444362 - 1.760033358893565im
0.014233353173917414 + 0.0im	-2.1316602753975022 - 2.14098007356302im	-5.593758607700093 - 0.37586023718758554im	-5.593758607700093 - 0.3758602371875856im	3.462098292850944 - 1.765119836375474im
0.014375686705656589 + 0.0im	-2.1277382312929296 - 2.1614235388932737im	-5.5852575449241115 - 0.39122277073213924im	-5.5852575449241115 - 0.39122277073213924im	3.457519714425417 - 1.7702007681611724im
0.014519443572713155 + 0.0im	-2.12335455172517 - 2.1818667540982934im	-5.576436244209656 - 0.4065959283671867im	-5.576436244209656 - 0.40659592836718705im	3.453081689549607 - 1.7752708257311438im
0.014664638008440286 + 0.0im	-2.1185066662116108 - 2.20229544541915im	-5.5672930983337805 - 0.42197083919663014im	-5.5672930983337805 - 0.4219708391966302im	3.4487865312617942 - 1.7803246062225597im
0.014811284388524689 + 0.0im	-2.113192351640173 - 2.2226951624022058im	-5.557826698874079 - 0.4373385219697037im	-5.557826698874079 - 0.43733852196970385im	3.444634450439074 - 1.785356640432543im
0.014959397232409936 + 0.0im	-2.1074100506746207 - 2.243051299500374im	-5.548036009844839 - 0.45268989843018814im	-5.548036009844839 - 0.45268989843018825im	3.440626052911332 - 1.790361401070227im
0.015108991204734036 + 0.0im	-2.10115878530181 - 2.263349118275166im	-5.537920340946652 - 0.4680158070366716im	-5.537920340946652 - 0.4680158070366716im	3.436761659823724 - 1.795333311238534im
0.015260081116781376 + 0.0im	-2.0944373035037613 - 2.283573770146996im	-5.527479281522136 - 0.48330701702141654im	-5.527479281522136 - 0.48330701702141654im	3.4330414573009804 - 1.8002667531256196im
0.01541268192794919 + 0.0im	-2.0872476204825645 - 2.303710319638957im	-5.516712913285004 - 0.49855424275394644im	-5.5167129132850015 - 0.4985542427539466im	3.429465305641334 - 1.8051560768850525im
0.015566808747228683 + 0.0im	-2.079588545308109 - 2.3237437680570086im	-5.505621303906398 - 0.5137481583741059im	-5.505621303906398 - 0.5137481583741057im	3.426032967106564 - 1.809995609682941im
0.01572247683470097 + 0.0im	-2.0714616936943595 - 2.3436590775475747im	-5.494205568629899 - 0.5288794126581458im	-5.494205568629899 - 0.5288794126581458im	3.4227438230741676 - 1.8147796648894665im
0.01587970160304798 + 0.0im	-2.062868925247454 - 2.3634411954717947im	-5.482466194089372 - 0.5439386440802559im	-5.482466194089372 - 0.5439386440802558im	3.419597365827802 - 1.8195025513915826im
0.01603849861907846 + 0.0im	-2.0538123970675737 - 2.3830750790340036im	-5.470405011586513 - 0.5589164960310119im	-5.470405011586513 - 0.5589164960310118im	3.4165927222549914 - 1.8241585830030318im
0.016198883605269245 + 0.0im	-2.044295184846256 - 2.4025457201006746im	-5.458023615076957 - 0.573803632153357im	-5.458023615076957 - 0.5738036321533568im	3.413728448376751 - 1.8287420879473584im
0.01636087244132194 + 0.0im	-2.034320546803574 - 2.4218381701450613im	-5.445323967060163 - 0.5885907517560409im	-5.445323967060163 - 0.588590751756041im	3.4110034056240033 - 1.8332474183890606im
0.01652448116573516 + 0.0im	-2.0238926389162444 - 2.440937565251633im	-5.432308606866302 - 0.6032686052638948im	-5.432308606866302 - 0.6032686052638949im	3.40841594441429 - 1.837668959987777im
0.01668972597739251 + 0.0im	-2.013016010174787 - 2.459829151113937im	-5.418980305154346 - 0.6178280096638857im	-5.418980305154342 - 0.6178280096638856im	3.4059643073409807 - 1.8420011414500903im
0.016856623237166433 + 0.0im	-2.001695784135926 - 2.4784983079590197im	-5.405342253396549 - 0.6322598639056771im	-5.405342253396549 - 0.6322598639056771im	3.4036464685822683 - 1.8462384440533823im
0.0170251894695381 + 0.0im	-1.9899376687966193 - 2.496930575331355im	-5.3913977746679675 - 0.6465551642152808im	-5.3913977746679675 - 0.6465551642152807im	3.4014602161815652 - 1.850375411116113im
0.01719544136423348 + 0.0im	-1.9777479397086477 - 2.515111676669313im	-5.377150971496989 - 0.6607050192804481im	-5.377150971496989 - 0.6607050192804482im	3.3994031376865137 - 1.8544066573889049im
0.017367395777875813 + 0.0im	-1.9651333982044294 - 2.533027543607588im	-5.362605892878928 - 0.674700665266662im	-5.362605892878928 - 0.6747006652666617im	3.3974725982195295 - 1.8583268783409677im
0.01754106973565457 + 0.0im	-1.952101393782626 - 2.5506643399394404im	-5.347767394826475 - 0.688533480622919im	-5.347767394826475 - 0.688533480622919im	3.3956657868696962 - 1.8621308593165637im
0.017716480433011116 + 0.0im	-1.938659776537981 - 2.5680084851735896im	-5.332639612488399 - 0.7021950006370338im	-5.332639612488399 - 0.7021950006370338im	3.3939796121570356 - 1.8658134845365952im
0.017893645237341226 + 0.0im	-1.9248169422447858 - 2.5850466776215395im	-5.317228057889119 - 0.7156769317008274im	-5.317228057889119 - 0.7156769317008274im	3.3924108879348203 - 1.8693697459207541im
0.01807258168971464 + 0.0im	-1.9105818061135358 - 2.6017659169525045im	-5.301538200606768 - 0.7289711652463943im	-5.301538200606768 - 0.7289711652463945im	3.390956193762756 - 1.8727947517061512im
0.018253307506611787 + 0.0im	-1.895963696577134 - 2.61815352615458im	-5.285575818125141 - 0.742069791315585im	-5.285575818125141 - 0.742069791315585im	3.389611922731746 - 1.8760837348390345im
0.018435840581677906 + 0.0im	-1.8809723990797746 - 2.6341971728426583im	-5.269346674188266 - 0.7549651117259416im	-5.269346674188266 - 0.7549651117259416im	3.388374321667629 - 1.87923206111676im
0.018620198987494684 + 0.0im	-1.8656185302172674 - 2.649884889855536im	-5.25285774494668 - 0.767649652797569im	-5.25285774494668 - 0.7676496527975691im	3.3872393282789903 - 1.882235237058007im
0.01880640097736963 + 0.0im	-1.849912551876753 - 2.665205095086859im	-5.236115448955555 - 0.7801161776067812im	-5.236115448955555 - 0.7801161776067815im	3.38620291768416 - 1.8850889174801198im
0.018994464987143328 + 0.0im	-1.8338658338055092 - 2.6801466104970624im	-5.219126550048333 - 0.7923576977338609im	-5.219126550048333 - 0.7923576977338608im	3.3852607603715383 - 1.8877889127632448im
0.01918440963701476 + 0.0im	-1.8174898499856251 - 2.694698680255966im	-5.2018982363188035 - 0.8043674844738977im	-5.2018982363188035 - 0.8043674844738979im	3.3844084105539287 - 1.8903311957821098im
0.019376253733384908 + 0.0im	-1.8007967562237557 - 2.7088509879685656im	-5.184437990197438 - 0.8161390794813852im	-5.184437990197438 - 0.8161390794813854im	3.3836413101237115 - 1.892711908487223im
0.019570016270718756 + 0.0im	-1.783798805419649 - 2.722593672939536im	-5.166753702588979 - 0.8276663048211134im	-5.166753702588982 - 0.8276663048211136im	3.3829546766227785 - 1.894927368118465im
0.019765716433425944 + 0.0im	-1.7665087610611774 - 2.7359173454350225im	-5.1488526545683495 - 0.838943272399806im	-5.1488526545683495 - 0.8389432723998062im	3.382343695056674 - 1.8969740730352576im
0.019963373597760202 + 0.0im	-1.7489397102356332 - 2.7488131009037im	-5.130743225313207 - 0.8499643927550059im	-5.130743225313207 - 0.8499643927550057im	3.381803283931169 - 1.8988487081487357im
0.020163007333737805 + 0.0im	-1.7311049204214393 - 2.761272533122363im	-5.112433366308467 - 0.8607243831797962im	-5.112433366308467 - 0.8607243831797962im	3.3813284967164807 - 1.9005481499426073im
0.020364637407075184 + 0.0im	-1.7130181610699347 - 2.773287746234949im	-5.093932086178359 - 0.871218275164139im	-5.093932086178359 - 0.871218275164139im	3.3809139765609117 - 1.9020694710708514im
0.020568283781145936 + 0.0im	-1.6946933218505853 - 2.784851365657473im	-5.075247991304875 - 0.8814414211358562im	-5.075247991304875 - 0.8814414211358564im	3.3805543588954396 - 1.903409944521658im
0.020773966618957394 + 0.0im	-1.676144515966324 - 2.795956547825069im	-5.0563892755585504 - 0.8913895004865681im	-5.0563892755585504 - 0.8913895004865677im	3.3802444508768463 - 1.904567047338544im
0.020981706285146968 + 0.0im	-1.6573862619893613 - 2.8065969887611977im	-5.037364914231439 - 0.9010585248702426im	-5.037364914231439 - 0.9010585248702426im	3.3799787294315213 - 1.9055384638909976im
0.02119152334799844 + 0.0im	-1.638432738086894 - 2.8167669314527815im	-5.018184316367342 - 0.910444842764413im	-5.0181843163673445 - 0.9104448427644134im	3.3797514828333046 - 1.906322088688413im
0.021403438581478425 + 0.0im	-1.6192990922572736 - 2.826461172019109im	-4.99885641738031 - 0.9195451432864602im	-4.99885641738031 - 0.9195451432864601im	3.3795572294733747 - 1.9069160287326914im
0.02161747296729321 + 0.0im	-1.6000000348716652 - 2.8356750646660402im	-4.979390425331482 - 0.9283564592598386im	-4.979390425331482 - 0.9283564592598385im	3.3793902645746434 - 1.907318605406247im
0.021833647696966142 + 0.0im	-1.5805506533375129 - 2.8444045254211625im	-4.959795550729303 - 0.9368761695274654im	-4.959795550729303 - 0.9368761695274652im	3.379244964013544 - 1.9075283558937426im
0.022051984173935803 + 0.0im	-1.5609659162468836 - 2.852646034649252im	-4.94008135465585 - 0.9451020005119682im	-4.94008135465585 - 0.9451020005119682im	3.379115331267603 - 1.907544034137327im
0.02227250401567516 + 0.0im	-1.5412610812901368 - 2.8603966383514274im	-4.920256956741217 - 0.9530320270248216im	-4.920256956741217 - 0.9530320270248216im	3.3789958587448368 - 1.9073646113266487im
0.022495229055831914 + 0.0im	-1.5214513148274045 - 2.8676539482551204im	-4.900332051585437 - 0.9606646723287918im	-4.900332051585437 - 0.9606646723287916im	3.3788806536579203 - 1.906989275926374im
0.022720181346390235 + 0.0im	-1.5015518506730368 - 2.8744161407057534im	-4.880315922836482 - 0.967998707460432im	-4.880315922836482 - 0.9679987074604324im	3.3787639354573256 - 1.9064174332453652im
0.02294738315985414 + 0.0im	-1.4815778948719045 - 2.880681954374756im	-4.860217980495105 - 0.975033249821661im	-4.860217980495105 - 0.9750332498216614im	3.3786400018091847 - 1.9056487045531392im
0.02317685699145268 + 0.0im	-1.4615447656737275 - 2.88645068680216im	-4.840047682915375 - 0.981767761051645im	-4.840047682915375 - 0.9817677610516455im	3.378502846220782 - 1.9046829257505582im
0.023408625561367205 + 0.0im	-1.441467499936878 - 2.8917221897954026im	-4.819814500941607 - 0.9882020441924219im	-4.819814500941607 - 0.9882020441924222im	3.3783470512143765 - 1.9035201456030268im
0.02364271181698088 + 0.0im	-1.4213612207287403 - 2.896496863709557im	-4.799527815802506 - 0.9943362401637518im	-4.799527815802502 - 0.9943362401637514im	3.378166593784635 - 1.9021606235458537im
0.023879138935150687 + 0.0im	-1.4012408666825473 - 2.900775650637238im	-4.779196836597354 - 1.0001708235646987im	-4.779196836597354 - 1.0001708235646993im	3.37795592882556 - 1.9006048270725848im
0.024117930324502195 + 0.0im	-1.381121333544132 - 2.9045600265397336im	-4.758830813273206 - 1.0057065978214061im	-4.758830813273206 - 1.0057065978214066im	3.377709412193363 - 1.898853428718375im
0.024359109627747216 + 0.0im	-1.3610184540431736 - 2.9078519923537804im	-4.738439505322637 - 1.0109446897022956im	-4.738439505322637 - 1.0109446897022953im	3.3774212645924906 - 1.896907302651532im
0.02460270072402469 + 0.0im	-1.340943443087789 - 2.9106540641111907im	-4.718030083053776 - 1.0158865432237132im	-4.718030083053776 - 1.0158865432237132im	3.377086557412106 - 1.8947675208875254im
0.024848727731264935 + 0.0im	-1.3209140373689452 - 2.912969262111273im	-4.697613409354749 - 1.02053391297063im	-4.697613409354752 - 1.02053391297063im	3.3766992816427512 - 1.8924353491406922im
0.025097215008577586 + 0.0im	-1.3009433248409175 - 2.914801099188292im	-4.677197638864256 - 1.0248888568585188im	-4.677197638864256 - 1.0248888568585188im	3.376254250295342 - 1.8899122423298207im
0.02534818715866336 + 0.0im	-1.2810451711835447 - 2.91615356811859im	-4.656791427913213 - 1.0289537283639667im	-4.656791427913213 - 1.0289537283639667im	3.375746256838866 - 1.88719983975467im
0.025601669030249994 + 0.0im	-1.2612333062466812 - 2.9170311282140364im	-4.636403394671139 - 1.0327311682527938im	-4.636403394671139 - 1.032731168252794im	3.375169974839171 - 1.8842999599612877im
0.025857685720552494 + 0.0im	-1.2415212643240419 - 2.917438691150265im	-4.616041835159529 - 1.0362240958356674im	-4.616041835159529 - 1.0362240958356677im	3.3745204976345993 - 1.881214595314647im
0.02611626257775802 + 0.0im	-1.2219221916994691 - 2.917381606079964im	-4.5957149904801335 - 1.0394356997821756im	-4.5957149904801335 - 1.0394356997821759im	3.3737927391804012 - 1.877945906297836im
0.0263774252035356 + 0.0im	-1.2024489949743222 - 2.916865644082762im	-4.57543090618043 - 1.0423694285252687im	-4.5754309061804275 - 1.0423694285252685im	3.372981947754288 - 1.87449621555754im
0.026641199455570957 + 0.0im	-1.1831142254029279 - 2.9158969820046794im	-4.555197422418018 - 1.0450289802887172im	-4.555197422418018 - 1.045028980288717im	3.372083154619164 - 1.8708680017160122im
0.026907611450126667 + 0.0im	-1.1639301539313858 - 2.9144821857410212im	-4.5350222081370575 - 1.0474182927708648im	-4.5350222081370575 - 1.0474182927708648im	3.37109197345896 - 1.8670638929702037im
0.027176687564627933 + 0.0im	-1.1449088210218186 - 2.912628193017441im	-4.514912653568134 - 1.049541532518533im	-4.514912653568134 - 1.0495415325185327im	3.370003806736724 - 1.8630866604989569im
0.027448454440274214 + 0.0im	-1.1260616981171492 - 2.9103422957245666im	-4.494876186705614 - 1.051403084025193im	-4.494876186705614 - 1.0514030840251933im	3.368814465463367 - 1.8589392116994208im
0.027722938984676957 + 0.0im	-1.107400051385582 - 2.9076321218618975im	-4.474919606924117 - 1.0530075385878883im	-4.474919606924117 - 1.0530075385878883im	3.367519588895104 - 1.8546245832740609im
0.028000168374523727 + 0.0im	-1.088934817143572 - 2.9045056171469645im	-4.455049833865425 - 1.0543596829574344im	-4.455049833865425 - 1.0543596829574344im	3.366115084749986 - 1.8501459341895798im
