w	self_d_u-A_d_u	self_d_d-A_d_u	self_d_u-A_d_d	self_d_d-A_d_d
-0.00048793448523632734 + 0.0im	-0.9609802454431923 - 0.02718448012119616im	-0.01830788070717721 - 0.17199277656822687im	-0.01830788070717537 - 0.1719927765682273im	-0.9426723670856193 + 0.14480829644722412im
-0.00048310345072903697 + 0.0im	-0.9609878753956582 - 0.02720301694731164im	-0.01833335453075811 - 0.17198445069114107im	-0.018333354530756258 - 0.1719844506911415im	-0.9426545231547816 + 0.1447814337440252im
-0.00047832024824657126 + 0.0im	-0.9609954515274776 - 0.027221374046127043im	-0.01835856690322922 - 0.17197620986121254im	-0.01835856690322741 - 0.17197620986121287im	-0.9426368869176169 + 0.14475483581528364im
-0.000473584404204526 + 0.0im	-0.9610029741803027 - 0.02723955338701052im	-0.0183835206863962 - 0.17196805283252847im	-0.018383520686394476 - 0.1719680528325289im	-0.9426194557878346 + 0.14472849944571883im
-0.0004688954497074515 + 0.0im	-0.9610104437329767 - 0.027257556910304567im	-0.018408218546294312 - 0.17195997838560126im	-0.01840821854629254 - 0.1719599783856017im	-0.9426022274807961 + 0.14470242147550003im
-0.0004642529205024272 + 0.0im	-0.9610178604510821 - 0.027275386527073613im	-0.018432663291124973 - 0.1719519853275106im	-0.0184326632911232 - 0.171951985327511im	-0.9425851994536865 + 0.14467659880064265im
-0.00045965635693309627 + 0.0im	-0.9610252246586232 - 0.027293044118908167im	-0.018456857603911445 - 0.17194407249199414im	-0.0184568576039097 - 0.17194407249199453im	-0.9425683693480862 + 0.14465102837329413im
-0.0004551053038941547 + 0.0im	-0.9610325366127048 - 0.027310531537787126im	-0.01848080424155522 - 0.1719362387394884im	-0.01848080424155337 - 0.1719362387394888im	-0.9425517346627126 + 0.14462570720191184im
-0.0004505993107862918 + 0.0im	-0.9610397966489593 - 0.027327850605997787im	-0.01850450579914773 - 0.17192848295711888im	-0.018504505799145927 - 0.17192848295711924im	-0.9425352931410927 + 0.1446006323513341im
-0.0004461379314715761 + 0.0im	-0.9610470049991042 - 0.027345003116114756im	-0.018527965010023864 - 0.17192080405864268im	-0.018527965010022136 - 0.17192080405864302im	-0.9425190422795645 + 0.14457580094274322im
-0.00044172072422928325 + 0.0im	-0.9610541619355533 - 0.027361990831036853im	-0.018551184509060556 - 0.17191320098434637im	-0.018551184509058825 - 0.17191320098434687im	-0.9425029797160507 + 0.14455121015352734im
-0.0004373472517121616 + 0.0im	-0.9610612676499825 - 0.02737881548408195im	-0.01857416704574028 - 0.1719056727008986im	-0.0185741670457381 - 0.1719056727008991im	-0.9424871008071486 + 0.14452685721703692im
-0.00043301708090313034 + 0.0im	-0.961068322567683 - 0.027395478779138484im	-0.01859691491111413 - 0.17189821820116286im	-0.01859691491111206 - 0.1718982182011632im	-0.9424714078571568 + 0.144502739422247im
-0.00042872978307240627 + 0.0im	-0.961075326775804 - 0.02741198239087288im	-0.018619430985208307 - 0.17189083650396914im	-0.018619430985206388 - 0.1718908365039696im	-0.9424558959894073 + 0.1444788541133213im
-0.00042448493373505573 + 0.0im	-0.9610822805624533 - 0.02742832796499075im	-0.01864171775152152 - 0.17188352665385107im	-0.01864171775151968 - 0.17188352665385145im	-0.9424405630079324 + 0.14445519868908768im
-0.00042028211260896606 + 0.0im	-0.9610891841663637 - 0.02744451711855088im	-0.018663777756325783 - 0.17187628772074684im	-0.018663777756323996 - 0.1718762877207472im	-0.9424254101502089 + 0.14443177060242546im
-0.0004161209035732337 + 0.0im	-0.9610960459959031 - 0.02746055144032905im	-0.018685613601610026 - 0.1718691187996697im	-0.01868561360160818 - 0.17186911879967012im	-0.9424104279255824 + 0.1444085673595726im
-0.0004120008946269641 + 0.0im	-0.9611028499893527 - 0.027476432491229778im	-0.018707227524067286 - 0.17186201901034998im	-0.018707227524065683 - 0.1718620190103505im	-0.9423956179943628 + 0.14438558651935457im
-0.0004079216778484793 + 0.0im	-0.9611096044576269 - 0.027492161804743193im	-0.018728622291664127 - 0.17185498749684858im	-0.01872862229166225 - 0.17185498749684883im	-0.9423809777381843 + 0.14436282569234185im
-0.00040388284935492997 + 0.0im	-0.9611163096819132 - 0.027507740887444287im	-0.01874980025117807 - 0.17184802342714944im	-0.01874980025117632 - 0.17184802342714997im	-0.9423665050008629 + 0.144340282539944im
-0.0003998840092623069 + 0.0im	-0.9611229658942297 - 0.02752317121953157im	-0.018770763836444628 - 0.17184112599272908im	-0.018770763836442887 - 0.17184112599272952im	-0.9423521976257705 + 0.14431795477343873im
-0.0003959247616458484 + 0.0im	-0.9611295733282847 - 0.027538454255401093im	-0.018791515456065545 - 0.17183429440810827im	-0.01879151545606369 - 0.17183429440810882im	-0.9423380536678354 + 0.14429584015295047im
-0.00039200471450084 + 0.0im	-0.9611361322104164 - 0.02755359142425376im	-0.018812057540779328 - 0.17182752791038733im	-0.01881205754077711 - 0.17182752791038788im	-0.9423240704645199 + 0.14427393648637907im
-0.000388123479703802 + 0.0im	-0.9611426428111561 - 0.02756858413073116im	-0.018832392279204812 - 0.17182082575876786im	-0.018832392279202758 - 0.17182082575876828im	-0.9423102463259201 + 0.1442522416282843im
-0.0003842806729740614 + 0.0im	-0.9611491053345532 - 0.02758343375557711im	-0.018852522192167417 - 0.17181418723406272im	-0.01885252219216548 - 0.1718141872340632im	-0.9422965789354927 + 0.14423075347873568im
-0.00038047591383570434 + 0.0im	-0.9611555200382591 - 0.027598141656320452im	-0.018872449514118223 - 0.17180761163819747im	-0.018872449514116325 - 0.17180761163819797im	-0.9422830663163492 + 0.1442094699821292im
-0.0003767088255799053 + 0.0im	-0.9611618871690246 - 0.027612709167976326im	-0.01889217652833992 - 0.1718010982937036im	-0.01889217652833804 - 0.1718010982937041im	-0.9422697064319598 + 0.14418838912598178im
-0.000372979035227629 + 0.0im	-0.9611682069777161 - 0.0276271376037607im	-0.018911705490532723 - 0.1717946465432063im	-0.01891170549053082 - 0.17179464654320675im	-0.9422564972774893 + 0.14416750893970204im
-0.00036928617349270195 + 0.0im	-0.9611744797186101 - 0.02764142825581627im	-0.018931038629533638 - 0.17178825574890977im	-0.018931038629531924 - 0.1717882557489101im	-0.942243436878376 + 0.144146827493352im
-0.00036562987474524945 + 0.0im	-0.9611807056772546 - 0.02765558239594397im	-0.018950178166827567 - 0.17178192529207853im	-0.018950178166826013 - 0.17178192529207895im	-0.9422305232987214 + 0.1441263428963954im
-0.0003620097769754945 + 0.0im	-0.9611868850554253 - 0.027669601276337732im	-0.01896912623515901 - 0.17177565457252053im	-0.01896912623515721 - 0.17177565457252097im	-0.9422177529367589 + 0.1441060532964456im
-0.00035842552175791535 + 0.0im	-0.961193018176305 - 0.027683486130318655im	-0.018987885023014853 - 0.17176944300806737im	-0.018987885023012987 - 0.17176944300806773im	-0.942205127268558 + 0.1440859568780134im
-0.0003548767542157578 + 0.0im	-0.9611991053003486 - 0.02769723817306464im	-0.019006456644565694 - 0.171763290034059im	-0.01900645664456393 - 0.17176329003405946im	-0.9421926427697916 + 0.14406605186126126im
-0.0003513631229858988 + 0.0im	-0.9612051467069381 - 0.02771085860233247im	-0.019024843197092686 - 0.17175719510282986im	-0.019024843197090874 - 0.17175719510283025im	-0.9421802976225594 + 0.14404633650076626im
-0.0003478842801840582 + 0.0im	-0.9612111426812266 - 0.027724348599169103im	-0.019043046751530686 - 0.17175115768319715im	-0.019043046751528812 - 0.1717511576831976im	-0.9421680900410783 + 0.14402680908429893im
-0.00034443988137035467 + 0.0im	-0.9612170935142537 - 0.027737709328609087im	-0.019061069351945775 - 0.1717451772599543im	-0.01906106935194409 - 0.17174517725995467im	-0.9421560182723225 + 0.14400746793161814im
-0.00034102958551520264 + 0.0im	-0.9612229995523894 - 0.027750941940355097im	-0.019078912988382036 - 0.1717392533333671im	-0.01907891298838023 - 0.1717392533333675im	-0.9421440806726232 + 0.14398831139328674im
-0.0003376530549655472 + 0.0im	-0.9612288609327333 - 0.027764047569439385im	-0.019096579741550518 - 0.1717333854186746im	-0.019096579741548887 - 0.17173338541867508im	-0.9421322752983454 + 0.1439693378495121im
-0.00033430995541143283 + 0.0im	-0.9612346781340783 - 0.027777027336862888im	-0.019114071481368355 - 0.17172757304559558im	-0.019114071481366655 - 0.17172757304559608im	-0.9421206007583919 + 0.14395054570901147im
-0.0003309999558529038 + 0.0im	-0.9612404512728013 - 0.027789882350210945im	-0.01913139017946159 - 0.17172181575783607im	-0.019131390179459792 - 0.17172181575783654im	-0.942109055330252 + 0.14393193340790583im
-0.00032772272856723146 + 0.0im	-0.9612461809286013 - 0.027802613704242675im	-0.019148537746526056 - 0.171716113112604im	-0.019148537746524263 - 0.17171611311260457im	-0.9420976374198782 + 0.14391349940864384im
-0.0003244779490764668 + 0.0im	-0.9612518672917871 - 0.027815222481453017im	-0.019165516066998782 - 0.17171046468012624im	-0.019165516066996936 - 0.17171046468012677im	-0.9420863454634919 + 0.14389524219895766im
-0.0003212652961153137 + 0.0im	-0.9612575106875155 - 0.027827709752605637im	-0.019182326998689457 - 0.1717048700431691im	-0.019182326998687695 - 0.1717048700431695im	-0.942075177928439 + 0.14387716029084976im
-0.0003180844515993205 + 0.0im	-0.9612631114469966 - 0.02784007657723561im	-0.019198972371454584 - 0.17169932879656094im	-0.019198972371453023 - 0.17169932879656136im	-0.942064133316079 + 0.14385925221961343im
-0.0003149351005933866 + 0.0im	-0.9612686698905144 - 0.027852324004121347im	-0.019215454000378687 - 0.17169384054671835im	-0.019215454000376955 - 0.17169384054671882im	-0.9420532101316051 + 0.14384151654288677im
-0.0003118169312805808 + 0.0im	-0.9612741863752172 - 0.02786445307172475im	-0.019231773648183143 - 0.17168840491117307im	-0.019231773648181433 - 0.1716884049111736im	-0.9420424069694581 + 0.14382395183973992im
-0.0003087296349312681 + 0.0im	-0.9612796612299316 - 0.027876464808599226im	-0.01924793307617859 - 0.17168302151809983im	-0.019247933076176768 - 0.17168302151810025im	-0.9420317223971524 + 0.14380655670979375im
-0.00030567290587254266 + 0.0im	-0.9612850947996161 - 0.027888360233766438im	-0.019263934009301768 - 0.17167769000584435im	-0.019263934009299957 - 0.1716776900058447im	-0.9420211550347167 + 0.14378932977237296im
-0.000302646441457963 + 0.0im	-0.9612904874307848 - 0.027900140357060267im	-0.019279781845092048 - 0.1716724100224518im	-0.019279781845090202 - 0.17167241002245232im	-0.942010703528778 + 0.14377226966568846im
-0.00029964994203758713 + 0.0im	-0.9612958394721017 - 0.02791180617944012im	-0.01929547086277126 - 0.17166718122519328im	-0.019295470862769448 - 0.17166718122519375im	-0.9420003665535248 + 0.14375537504605168im
-0.0002966831109283041 + 0.0im	-0.9613011512715188 - 0.027923358693273677im	-0.01931100641350785 - 0.17166200328009im	-0.019311006413505884 - 0.17166200328009049im	-0.9419901428034336 + 0.1437386445871163im
-0.0002937456543844595 + 0.0im	-0.9613064232243109 - 0.02793479888258936im	-0.0193263900499203 - 0.17165687586143613im	-0.019326390049918332 - 0.17165687586143658im	-0.9419800311206364 + 0.14372207697914863im
-0.0002908372815687718 + 0.0im	-0.9613116556007043 - 0.027946127723300525im	-0.019341623509059665 - 0.17165179865131897im	-0.019341623509057874 - 0.17165179865131944im	-0.9419700300394882 + 0.14370567092832176im
-0.0002879577045235364 + 0.0im	-0.9613168406116886 - 0.027957346183402728im	-0.01935670825836492 - 0.17164677133913378im	-0.019356708258363102 - 0.17164677133913425im	-0.9419601385107319 + 0.14368942515603586im
-0.00028510663814211524 + 0.0im	-0.961321995018486 - 0.02796845522314463im	-0.01937164586365721 - 0.1716417936210965im	-0.019371645863655376 - 0.171641793621097im	-0.9419503553143135 + 0.14367333839825835im
-0.0002822838001407082 + 0.0im	-0.9613271103658182 - 0.027979455795175422im	-0.01938643784547509 - 0.17163686519975183im	-0.019386437845473323 - 0.1716368651997523im	-0.9419406792886253 + 0.1436574094048844im
-0.00027948891103040416 + 0.0im	-0.9613321882253293 - 0.02799034884466974im	-0.019401085697184565 - 0.17163198578347663im	-0.019401085697182692 - 0.17163198578347716im	-0.9419311093026844 + 0.1436416369391164im
-0.0002767216940895091 + 0.0im	-0.9613372283579033 - 0.028001135309432625im	-0.01941559087651023 - 0.17162715508597912im	-0.01941559087650857 - 0.17162715508597956im	-0.941921644290252 + 0.14362601977685768im
-0.0002739818753361476 + 0.0im	-0.9613422310912509 - 0.028011816119985822im	-0.019429954887931332 - 0.17162237282579354im	-0.019429954887929854 - 0.17162237282579407im	-0.9419122829399974 + 0.14361055670612033im
-0.00027126918350113625 + 0.0im	-0.961347196834701 - 0.02802239219963877im	-0.019444179062034418 - 0.17161763872577118im	-0.019444179062032704 - 0.17161763872577163im	-0.9419030245272663 + 0.14359524652644648im
-0.000268583350001125 + 0.0im	-0.9613521259239037 - 0.02803286446454505im	-0.01945826483962932 - 0.17161295251256645im	-0.01945826483962754 - 0.17161295251256695im	-0.9418938678439588 + 0.14358008804833677im
-0.00026592410891200497 + 0.0im	-0.9613570270155389 - 0.02804323382374776im	-0.019472213585953958 - 0.17160831391612075im	-0.01947221358595221 - 0.17160831391612125im	-0.9418848118989183 + 0.1435650800926897im
-0.0002632911969425792 + 0.0im	-0.9613618838744049 - 0.028053501179215408im	-0.019486026645849933 - 0.17160372266914303im	-0.019486026645848368 - 0.17160372266914345im	-0.941875855631448 + 0.14355022149024568im
-0.0002606843534084942 + 0.0im	-0.9613667052148355 - 0.02806366742587069im	-0.019499705233250245 - 0.17159917850658823im	-0.01949970523324844 - 0.17159917850658882im	-0.9418669982767084 + 0.14353551108103724im
-0.0002581033202064299 + 0.0im	-0.9613714912382385 - 0.028073733451614645im	-0.019513250978494726 - 0.17159468116513554im	-0.019513250978492828 - 0.17159468116513607im	-0.9418582386850832 + 0.14352094771384186im
-0.0002555478417885445 + 0.0im	-0.9613762424644401 - 0.028083700137348042im	-0.019526664818396135 - 0.17159023038266474im	-0.019526664818394285 - 0.17159023038266522im	-0.9418495760829263 + 0.14350653024563925im
-0.00025301766513717274 + 0.0im	-0.9613809591963701 - 0.02809356835699213im	-0.019539948119728194 - 0.17158582589773735im	-0.019539948119726282 - 0.17158582589773788im	-0.9418410075211456 + 0.1434922575410688im
-0.000250512539739775 + 0.0im	-0.9613856417763018 - 0.028103338977511137im	-0.01955310205747827 - 0.1715814674490757im	-0.019553102057476426 - 0.17158146744907615im	-0.9418325362175105 + 0.14347812847188948im
-0.0002480322175641337 + 0.0im	-0.9613902906116599 - 0.028113012858938153im	-0.019566128014827006 - 0.17157715477505064im	-0.019566128014825282 - 0.1715771547750512im	-0.9418241590580755 + 0.14346414191643866im
-0.0002455764530337957 + 0.0im	-0.9613949060100023 - 0.028122590854405917im	-0.01957902697786555 - 0.17157288761317255im	-0.019579026977863803 - 0.17157288761317302im	-0.9418158755059113 + 0.14345029675909404im
-0.00024314500300375813 + 0.0im	-0.96139948833701 - 0.02813207381018474im	-0.019591800213535602 - 0.1715686656995894im	-0.019591800213533798 - 0.17156866569958992im	-0.9418076846006478 + 0.14343659188973337im
-0.00024073762673639418 + 0.0im	-0.9614040379353885 - 0.02814146256572885im	-0.019604448803499364 - 0.17156448876859637im	-0.0196044488034975 - 0.17156448876859678im	-0.9417995891881639 + 0.14342302620319752im
-0.000238354085877618 + 0.0im	-0.9614085551991705 - 0.028150757953732085im	-0.019616973950642276 - 0.1715603565521547im	-0.019616973950640583 - 0.17156035655215526im	-0.9417915813363854 + 0.1434095985987537im
-0.00023599414443328516 + 0.0im	-0.9614130320302132 - 0.028159960800194436im	-0.01962937664127777 - 0.17155626877942376im	-0.01962937664127601 - 0.17155626877942443im	-0.9417836639223703 + 0.1433963079795616im
-0.0002336575687458269 + 0.0im	-0.9614174858704833 - 0.02816907192450086im	-0.019641658132983828 - 0.1715522251763102im	-0.019641658132981958 - 0.17155222517631072im	-0.9417758360887785 + 0.14338315325214268im
-0.00023134412747111575 + 0.0im	-0.9614219081621315 - 0.02817809213951185im	-0.019653819325623684 - 0.1715482254650317im	-0.019653819325621862 - 0.1715482254650322im	-0.9417680971880895 + 0.14337013332585427im
-0.00022905359155556016 + 0.0im	-0.9614262999777708 - 0.028187022251667606im	-0.01966586130812465 - 0.17154426936370284im	-0.01966586130812257 - 0.17154426936370348im	-0.9417604465501622 + 0.14335724711237066im
-0.0002267857342134259 + 0.0im	-0.96143066069272 - 0.02819586306110545im	-0.01967778516844076 - 0.17154035658594036im	-0.019677785168438686 - 0.17154035658594075im	-0.9417528834051532 + 0.14334449352517145im
-0.00022454033090438206 + 0.0im	-0.9614349911716 - 0.02820461536179057im	-0.019689591831399015 - 0.17153648684049239im	-0.019689591831397187 - 0.17153648684049289im	-0.9417454072214329 + 0.14333187147903959im
-0.00022231715931126937 + 0.0im	-0.9614392917284716 - 0.028213279941660736im	-0.019701282330130823 - 0.1715326598308955im	-0.019701282330129022 - 0.17153265983089602im	-0.941738017293625 + 0.1433193798895735im
-0.0002201159993180885 + 0.0im	-0.9614435650007371 - 0.028221857582783637im	-0.019712853941177617 - 0.1715288752551549im	-0.019712853941176115 - 0.17152887525515537im	-0.9417307129962191 + 0.14330701767271117im
-0.00021793663298820643 + 0.0im	-0.961447806811412 - 0.028230349061527205im	-0.01972431500648502 - 0.17152513280545914im	-0.019724315006483365 - 0.1715251328054598im	-0.9417234937415635 + 0.1432947837442728im
-0.00021577884454277864 + 0.0im	-0.9614520197510091 - 0.02823875514874194im	-0.019735662799394774 - 0.17152143216792254im	-0.01973566279939289 - 0.17152143216792307im	-0.9417163588882178 + 0.14328267701952238im
